mjd,val
60619.00299321,33203733.4961033
60619.00300479,33203737.8930273
60619.00301636,33203736.131669
60619.00302794,33203755.6308289
60619.00303952,33203720.6262264
60619.0030511,33203716.769002
60619.00306268,33203752.3074131
60619.00307426,33203713.3536901
60619.00308584,33203739.2293243
60619.00309742,33203732.5479613
60619.00310899,33203718.0536632
60619.00312057,33203724.9973736
60619.00313215,33203730.4841108
60619.00314373,33203712.0969944
60619.0031553,33203714.6792679
60619.00316688,33203734.7497311
60619.00317847,33203737.0903683
60619.00319004,33203708.2536621
60619.00320162,33203729.8659181
60619.0032132,33203736.2178126
60619.00322478,33203705.7679882
60619.00323636,33203748.9002552
60619.00324793,33203738.1143579
60619.00325952,33203694.7230549
60619.00327109,33203745.1271858
60619.00328268,33203735.462946
60619.00329425,33203708.937231
60619.00330582,33203744.9935933
60619.00331741,33203728.0251073
60619.00332899,33203734.2836228
60619.00334056,33203732.6241073
60619.00335214,33203734.7774535
60619.00336372,33203721.243535
60619.00337529,33203718.2394428
60619.00338688,33203755.7260695
60619.00339846,33203699.2027006
60619.00341003,33203738.7802582
60619.00342161,33203733.2357197
60619.00343319,33203732.1785907
60619.00344477,33203736.5135632
60619.00345634,33203744.3002872
60619.00346792,33203747.8914976
60619.0034795,33203703.9484005
60619.00349108,33203740.4739705
60619.00350266,33203720.1708765
60619.00351424,33203745.2192773
60619.00352581,33203715.800376
60619.00353739,33203732.344511
60619.00354897,33203725.1104212
60619.00356054,33203739.6213055
60619.00357213,33203706.3801708
60619.0035837,33203732.1658535
60619.00359528,33203737.8208599
60619.00360686,33203718.8969211
60619.00361844,33203734.4234028
60619.00363002,33203720.2424746
60619.0036416,33203739.8814688
60619.00365318,33203723.8985881
60619.00366475,33203739.6658612
60619.00367633,33203754.297328
60619.00368791,33203737.2393674
60619.00369949,33203727.6999083
60619.00371106,33203739.3465691
60619.00372265,33203738.3428688
60619.00373423,33203739.8047914
60619.0037458,33203746.4411745
60619.00375738,33203727.5824442
60619.00376895,33203755.2300005
60619.00378053,33203734.1653557
60619.00379212,33203732.1602125
60619.00380369,33203735.0468788
60619.00381526,33203737.8996125
60619.00382685,33203732.3078565
60619.00383843,33203726.8105049
60619.00385001,33203751.9105654
60619.00386159,33203745.0719719
60619.00387316,33203723.597023
60619.00388474,33203738.7827101
60619.00389632,33203717.5894394
60619.0039079,33203745.587244
60619.00391948,33203724.874918
60619.00393105,33203729.7872791
60619.00394263,33203733.4217873
60619.00395421,33203735.0034828
60619.00396579,33203704.639719
60619.00397737,33203731.5168657
60619.00398895,33203731.0843564
60619.00400052,33203740.6877946
60619.0040121,33203727.312872
60619.00402368,33203721.5902605
60619.00403526,33203732.0937805
60619.00404684,33203723.6832066
60619.00405842,33203740.0605173
60619.00407,33203736.8032846
60619.00408157,33203729.9656715
60619.00409315,33203718.2140894
60619.00410473,33203720.8836804
60619.0041163,33203731.1665745
60619.00412788,33203745.3026352
60619.00413947,33203746.2596645
60619.00415104,33203726.0415211
60619.00416262,33203726.7538261
60619.0041742,33203742.7720194
60619.00418577,33203731.7612371
60619.00419736,33203723.1009179
60619.00420894,33203749.3347978
60619.00422051,33203717.0724402
60619.00423209,33203741.2637958
60619.00424367,33203713.9152632
60619.00425525,33203732.9768486
60619.00426683,33203743.8003425
60619.00427841,33203738.0587044
60619.00428998,33203729.006342
60619.00430156,33203747.4614658
60619.00431314,33203724.0531807
60619.00432472,33203712.1710453
60619.00433629,33203745.5278463
60619.00434788,33203717.1670437
60619.00435945,33203738.345603
60619.00437103,33203747.5240946
60619.00438261,33203740.6771526
60619.00439419,33203722.1875363
60619.00440576,33203735.4787044
60619.00441734,33203739.9113636
60619.00442892,33203729.2210779
60619.00444049,33203725.2507887
60619.00445208,33203738.5527764
60619.00446365,33203702.6696157
60619.00447523,33203744.1089411
60619.0044868,33203733.0046062
60619.00449839,33203726.6237946
60619.00450996,33203742.7719993
60619.00452154,33203735.3995409
60619.00453312,33203735.8489953
60619.0045447,33203743.1179704
60619.00455627,33203722.0646677
60619.00456786,33203726.2499867
60619.00457943,33203730.4141969
60619.00459101,33203748.4553605
60619.00460259,33203736.6728849
60619.00461417,33203726.6343298
60619.00462574,33203739.7809944
60619.00463733,33203736.3995914
60619.0046489,33203752.6158677
60619.00466048,33203743.6427469
60619.00467205,33203734.2582569
60619.00468364,33203737.7577591
60619.00469522,33203745.872055
60619.00470679,33203732.9609604
60619.00471837,33203747.2559185
60619.00472995,33203719.0275803
60619.00474152,33203744.2264738
60619.00475311,33203745.5293665
60619.00476468,33203732.5418663
60619.00477626,33203744.6774969
60619.00478784,33203735.2074022
60619.00479942,33203752.1166659
60619.004811,33203719.5715856
60619.00482258,33203715.6073637
60619.00483416,33203738.8759489
60619.00484574,33203715.3575078
60619.00485731,33203744.9588794
60619.00486889,33203719.1010895
60619.00488047,33203741.7178097
60619.00489204,33203756.1449709
60619.00490362,33203718.7930584
60619.00491521,33203745.8211012
60619.00492678,33203707.0460996
60619.00493836,33203753.7829676
60619.00494994,33203722.4654798
60619.00496151,33203723.163271
60619.00497309,33203729.4064379
60619.00498468,33203749.2410984
60619.00499625,33203719.3655719
60619.00500783,33203730.8388396
60619.00501941,33203736.0972576
60619.00503099,33203738.069994
60619.00504256,33203710.6156063
60619.00505414,33203719.5768413
60619.00506572,33203755.4792252
60619.0050773,33203705.0292215
60619.00508888,33203723.7533026
60619.00510045,33203749.9295416
60619.00511203,33203735.9221096
60619.00512361,33203728.9872017
60619.00513519,33203728.7928066
60619.00514676,33203733.0532188
60619.00515834,33203708.7240725
60619.00516992,33203754.4175367
60619.0051815,33203738.2197171
60619.00519308,33203739.5692215
60619.00520466,33203754.3419017
60619.00521624,33203720.3249989
60619.00522781,33203767.9579315
60619.00523939,33203749.8061752
60619.00525097,33203729.6533442
60619.00526255,33203734.4075365
60619.00527412,33203734.5736637
60619.00528571,33203757.9075766
60619.00529728,33203741.2119245
60619.00530886,33203732.9430132
60619.00532044,33203761.3652916
60619.00533201,33203742.3236494
60619.00534359,33203736.0602837
60619.00535518,33203721.8079824
60619.00536675,33203746.4677315
60619.00537833,33203759.1498127
60619.00538991,33203717.8585281
60619.00540148,33203714.7964745
60619.00541307,33203764.8577356
60619.00542464,33203729.9274311
60619.00543622,33203693.7984906
60619.0054478,33203753.7477932
60619.00545938,33203746.5072994
60619.00547096,33203706.6875152
60619.00548253,33203720.9156466
60619.00549411,33203742.5216532
60619.00550569,33203699.048316
60619.00551726,33203746.9835357
60619.00552885,33203713.4007635
60619.00554043,33203732.3946267
60619.005552,33203728.3273391
60619.00556358,33203721.7004958
60619.00557516,33203725.2084207
60619.00558673,33203732.8660755
60619.00559831,33203727.9875918
60619.00560989,33203732.3557253
60619.00562147,33203726.2890768
60619.00563305,33203748.5211906
60619.00564462,33203714.1196365
60619.0056562,33203738.7045517
60619.00566778,33203740.7425652
60619.00567936,33203732.2402258
60619.00569094,33203730.9416361
60619.00570251,33203726.6844215
60619.00571409,33203748.4587059
60619.00572568,33203725.1350775
60619.00573724,33203741.1186647
60619.00574883,33203737.4545336
60619.00576041,33203731.245944
60619.00577198,33203748.5165768
60619.00578356,33203714.9896355
60619.00579514,33203728.9963312
60619.00580672,33203742.156065
60619.0058183,33203745.9663534
60619.00582987,33203752.9118137
60619.00584145,33203712.8860512
60619.00585303,33203760.4156218
60619.00586461,33203713.4832801
60619.00587619,33203738.9968663
60619.00588776,33203736.7797136
60619.00589934,33203732.1898317
60619.00591092,33203736.4219313
60619.00592249,33203748.6830559
60619.00593408,33203718.1292638
60619.00594566,33203727.8314648
60619.00595723,33203726.1285782
60619.00596881,33203729.9803286
60619.00598039,33203736.2738027
60619.00599197,33203730.7352686
60619.00600355,33203728.4456263
60619.00601512,33203737.2269935
60619.00602671,33203730.8610344
60619.00603828,33203729.6138001
60619.00604986,33203760.2508411
60619.00606144,33203721.7416544
60619.00607301,33203727.9434824
60619.00608459,33203729.4339008
60619.00609617,33203724.6593132
60619.00610774,33203725.7948847
60619.00611933,33203740.3453436
60619.0061309,33203756.089385
60619.00614248,33203716.1154719
60619.00615406,33203745.8127689
60619.00616564,33203723.5704851
60619.00617721,33203729.4938088
60619.00618879,33203730.6576433
60619.00620038,33203729.8272524
60619.00621195,33203732.5138473
60619.00622353,33203716.9070626
60619.00623511,33203749.7402382
60619.00624669,33203744.5030737
60619.00625826,33203731.6639061
60619.00626984,33203747.6993246
60619.00628142,33203743.7772903
60619.00629299,33203744.4548597
60619.00630457,33203727.8504973
60619.00631615,33203744.7477541
60619.00632773,33203728.6083479
60619.00633931,33203740.7974958
60619.00635089,33203743.0950508
60619.00636246,33203734.4156122
60619.00637404,33203738.8410569
60619.00638562,33203749.2961015
60619.0063972,33203749.7695933
60619.00640878,33203740.3861389
60619.00642036,33203734.4666433
60619.00643193,33203727.4236775
60619.00644351,33203750.0473251
60619.00645509,33203709.6435824
60619.00646667,33203711.9143104
60619.00647824,33203770.0050135
60619.00648983,33203709.17947
60619.0065014,33203730.4511824
60619.00651298,33203726.96842
60619.00652456,33203739.5004263
60619.00653614,33203734.6689692
60619.00654771,33203731.5162935
60619.0065593,33203734.066081
60619.00657087,33203726.7483244
60619.00658245,33203759.6912852
60619.00659403,33203709.8355798
60619.00660561,33203729.528266
60619.00661718,33203749.3699131
60619.00662877,33203704.2263632
60619.00664034,33203721.805357
60619.00665192,33203715.3766412
60619.0066635,33203742.0282021
60619.00667508,33203739.6233072
60619.00668666,33203731.3416825
60619.00669823,33203720.8325204
60619.00670981,33203744.7936325
60619.00672139,33203719.2059699
60619.00673296,33203732.4069223
60619.00674454,33203737.3451071
60619.00675612,33203729.0829153
60619.0067677,33203728.5584154
60619.00677928,33203735.4260302
60619.00679085,33203729.7092351
60619.00680244,33203743.6129771
60619.00681402,33203714.5520725
60619.00682559,33203721.7328482
60619.00683717,33203746.50006
60619.00684875,33203742.2407437
60619.00686032,33203728.0762997
60619.00687191,33203724.4915838
60619.00688348,33203749.1321735
60619.00689506,33203728.3356733
60619.00690663,33203738.1717406
60619.00691821,33203735.1160545
60619.00692979,33203742.2290907
60619.00694137,33203722.5275784
60619.00695294,33203744.7986736
60619.00696453,33203735.5189552
60619.00697611,33203714.3676472
60619.00698768,33203731.5098543
60619.00699926,33203735.3802185
60619.00701084,33203741.0540838
60619.00702242,33203730.1371737
60619.007034,33203719.8440094
60619.00704558,33203728.9560442
60619.00705715,33203734.6492176
60619.00706873,33203718.4078093
60619.00708031,33203709.0002965
60619.00709189,33203747.6501971
60619.00710346,33203758.9093055
60619.00711506,33203720.0294772
60619.00712662,33203760.9943256
60619.0071382,33203705.0879173
60619.00714978,33203743.9853955
60619.00716136,33203747.1583252
60619.00717293,33203703.1147241
60619.00718452,33203733.4159632
60619.00719609,33203745.9333792
60619.00720767,33203712.6174678
60619.00721925,33203717.9374276
60619.00723083,33203722.2374639
60619.0072424,33203712.7061548
60619.00725398,33203731.5018568
60619.00726556,33203725.3299752
60619.00727714,33203745.9169941
60619.00728871,33203718.3533411
60619.0073003,33203717.2705078
60619.00731187,33203715.7424707
60619.00732345,33203706.725214
60619.00733503,33203747.2258291
60619.0073466,33203723.9979249
60619.00735819,33203731.5018587
60619.00736976,33203725.8982515
